Number of parameters in output net: 72
Number of parameters in hypernet: 646
Number of training points: 1280
Number of test points: 320
Epoch 2800 | Time 0.114 (0.104) | NFE-F 32.5 | NFE-B 46.7 | Test Acc 0.8469 | Train Acc 0.8742
Epoch 2900 | Time 0.139 (0.123) | NFE-F 37.2 | NFE-B 59.4 | Test Acc 0.8469 | Train Acc 0.8680
Epoch 3000 | Time 0.149 (0.134) | NFE-F 34.6 | NFE-B 66.0 | Test Acc 0.8625 | Train Acc 0.8688
Epoch 3100 | Time 0.117 (0.141) | NFE-F 35.9 | NFE-B 66.7 | Test Acc 0.8656 | Train Acc 0.8766
Epoch 3200 | Time 0.166 (0.138) | NFE-F 37.3 | NFE-B 68.7 | Test Acc 0.8531 | Train Acc 0.8844
Epoch 3300 | Time 0.133 (0.128) | NFE-F 37.8 | NFE-B 68.2 | Test Acc 0.8750 | Train Acc 0.8930
Epoch 3400 | Time 0.126 (0.137) | NFE-F 37.8 | NFE-B 70.4 | Test Acc 0.8719 | Train Acc 0.9039
Epoch 3500 | Time 0.121 (0.132) | NFE-F 37.2 | NFE-B 71.5 | Test Acc 0.8656 | Train Acc 0.9133
Epoch 3600 | Time 0.121 (0.137) | NFE-F 36.6 | NFE-B 75.2 | Test Acc 0.8781 | Train Acc 0.9078
Epoch 3700 | Time 0.124 (0.139) | NFE-F 36.2 | NFE-B 75.7 | Test Acc 0.8781 | Train Acc 0.8977
Epoch 3800 | Time 0.139 (0.141) | NFE-F 35.8 | NFE-B 77.4 | Test Acc 0.8750 | Train Acc 0.8992
Epoch 3900 | Time 0.146 (0.141) | NFE-F 34.7 | NFE-B 78.1 | Test Acc 0.8719 | Train Acc 0.8984
Epoch 4000 | Time 0.118 (0.142) | NFE-F 32.7 | NFE-B 79.1 | Test Acc 0.8812 | Train Acc 0.8977
Epoch 4100 | Time 0.150 (0.138) | NFE-F 32.4 | NFE-B 76.2 | Test Acc 0.8875 | Train Acc 0.9109
Epoch 4200 | Time 0.123 (0.143) | NFE-F 32.4 | NFE-B 79.6 | Test Acc 0.8688 | Train Acc 0.8945
Epoch 4300 | Time 0.144 (0.155) | NFE-F 36.7 | NFE-B 86.6 | Test Acc 0.8906 | Train Acc 0.8797
Epoch 4400 | Time 0.164 (0.154) | NFE-F 36.3 | NFE-B 86.3 | Test Acc 0.8719 | Train Acc 0.8977
Epoch 4500 | Time 0.183 (0.156) | NFE-F 35.5 | NFE-B 88.0 | Test Acc 0.8719 | Train Acc 0.9070
Epoch 4600 | Time 0.170 (0.167) | NFE-F 38.0 | NFE-B 94.7 | Test Acc 0.8844 | Train Acc 0.9141
Epoch 4700 | Time 0.142 (0.170) | NFE-F 38.0 | NFE-B 96.4 | Test Acc 0.8844 | Train Acc 0.9211
